Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

27395	11.7	1.2	1.1	Scaffold_2	930528	934559	4038	+	ET_35	LTR/Gypsy	3246	7283	(4523)	5378	1
5175	5.0	0.5	0.2	Scaffold_2	936436	937052	619	+	ET_35	LTR/Gypsy	7278	7896	(3910)	5378	1

###22877/6770/22527/3395/245/6266	9.332	0.556	0.632	Scaffold_2	937371	952615	8303	+	ET_35	LTR/Gypsy	90	11806	(0)	5381/5381/5381/5385/5385/5385	6	No_ref_available
22877	9.9	0.2	0.2	Scaffold_2	937371	940418	3047	+	ET_35	LTR/Gypsy	90	3136	(8670)	5381	1
6770	17.2	0.0	0.1	Scaffold_2	940486	941615	1129	+	ET_35	LTR/Gypsy	3246	4374	(7432)	5381	1
22527	6.1	1.3	1.2	Scaffold_2	941732	944610	2883	+	ET_35	LTR/Gypsy	4401	7283	(4523)	5381	1
3395	9.1	0.0	0.0	Scaffold_2	951262	951701	440	+	ET_35	LTR/Gypsy	10560	10999	(807)	5385	1
245	2.9	0.0	0.0	Scaffold_2	951750	951783	34	+	ET_35	LTR/Gypsy	11003	11036	(770)	5385	1
6266	6.4	0.2	2.0	Scaffold_2	951789	952615	813	+	ET_35	LTR/Gypsy	10994	11806	(0)	5385	1

###1711/1030	14.761	0.647	5.469	Scaffold_2	1362508	1363358	537	C	ET_35	LTR/Gypsy	(5342)	6464	5633	5632/5634	2	No_ref_available
1711	13.2	0.3	5.7	Scaffold_2	1362508	1362803	281	C	ET_35	LTR/Gypsy	(5342)	6464	6184	5632	1
1030	24.0	2.7	4.1	Scaffold_2	1363309	1363358	256	C	ET_35	LTR/Gypsy	(5883)	5888	5633	5634	1

###610	11.4	0.0	0.0	Scaffold_2	1443136	1443223	88	+	ET_35	LTR/Gypsy	1	88	(11718)	5707	1	No_ref_available

###4438/3293	7.418	5.089	0.155	Scaffold_2	1449939	1451153	1228	C	ET_35	LTR/Gypsy	(8)	11798	10571	5710/5710	2	No_ref_available
4438	6.8	2.1	0.0	Scaffold_2	1449939	1450507	581	C	ET_35	LTR/Gypsy	(8)	11798	11218	5710	1
3293	8.0	7.9	0.3	Scaffold_2	1450549	1451153	651	C	ET_35	LTR/Gypsy	(585)	11221	10571	5710	1
